workload,policy,capacity,operations,threads,page_files,access_pattern,seed,repetition,dirty_resident_pages_at_start,elapsed_us,fetch,hit,miss,eviction,dirty_flush,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_time_us,write_time_us,flush_time_us,logical_nonmutating_fetches,logical_dirty_mutations,physical_writes_per_dirty_commit,verified_pages,verification
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,15,32,44067,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11977,10405,155,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,16,32,53823,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,14035,11379,180,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,17,32,41639,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,10361,9521,151,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,18,32,41623,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,10612,9526,144,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,19,32,43732,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,10695,9875,160,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,20,32,45355,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11305,10491,165,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,1,32,53677,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13956,11871,188,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,2,32,48635,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11432,11155,204,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,3,32,49922,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11905,11053,179,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,4,32,53955,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13908,11608,184,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,5,32,52535,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12867,11612,187,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,6,32,53557,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13130,11770,187,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,7,32,52375,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12613,11841,193,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,8,32,53666,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13282,12288,183,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,9,32,52900,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13293,12038,180,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,10,32,51097,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12301,11327,186,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,11,32,48991,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11958,10940,172,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,12,32,53073,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12744,11874,192,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,13,32,50841,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11944,11722,185,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,14,32,52363,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12980,12225,175,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,15,32,54210,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13383,12158,211,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,16,32,52413,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12547,11441,180,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,17,32,51725,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12302,11692,181,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,18,32,50551,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12198,11662,178,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,19,32,51222,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12779,11753,190,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,4,1,independent,6072051097480939855,20,32,50249,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12348,11897,167,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,1,64,64381,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19079,18276,224,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,2,64,66647,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,20108,18058,294,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,3,64,65519,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19721,18198,232,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,4,64,62791,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18956,17102,223,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,5,64,65482,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19716,17862,246,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,6,64,65923,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19878,18393,222,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,7,64,65432,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,20780,17381,210,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,8,64,69146,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,20301,19458,239,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,9,64,63853,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19569,17139,208,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,10,64,62874,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18891,17571,214,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,11,64,63165,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18698,17500,221,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,12,64,61920,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18193,17402,211,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,13,64,64209,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19505,17563,235,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,14,64,65467,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19068,18149,227,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,15,64,64009,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,19344,17167,224,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,16,64,63564,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18144,17771,214,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,17,64,63747,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18912,17935,227,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,18,64,63055,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18636,17871,214,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,19,64,63302,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18694,17223,222,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,1,1,independent,6072051097480939855,20,64,64607,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,18878,17914,218,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,1,64,92503,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22215,20637,334,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,2,64,89215,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22418,20279,330,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,3,64,95131,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,23262,21306,345,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,4,64,100301,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,24893,21855,371,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,5,64,91745,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,21949,20740,426,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,6,64,96237,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,23572,21462,375,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,7,64,92364,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,23539,21062,326,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,8,64,94330,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22871,21177,344,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,9,64,92481,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22311,20737,360,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,10,64,91496,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22809,20460,341,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,11,64,97473,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,24135,21649,342,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,12,64,94601,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,23169,20813,354,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,13,64,94933,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22673,20755,378,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,14,64,95324,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22964,21002,354,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,15,64,88244,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22085,20170,326,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,16,64,97659,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,23727,21327,356,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,17,64,91135,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22510,20732,340,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,18,64,96477,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22976,21282,372,0,8192,1.000,8256,pass
full-pool-dirty-read,fifo,64,8192,2,1,independent,6072051097480939855,19,64,93866,8192,0,8192,8192,8192,0,0,0,0,8192,8192,8192,8192,8192,0,8192,8192,0,8192,8192,0,33554432,33554432,8192,22654,20962,363,0,8192,1.000,8256,pass
