workload,strategy,pages,capacity,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,dirty_pages,evictions,ordering_time_us,flush_io_time_us,total_scheduled_flush_time_us,physical_writes,physical_write_successes,physical_write_failures,bytes_written,flush_count,write_logical_page_distance,sequential_write_count,verification
dirty-batch-flush,ascending-page-id,512,512,6072051097480939855,1,empty,uncontrolled,uncontrolled,512,0,50,1194,1244,512,512,0,2097152,512,1022,511,pass
dirty-batch-flush,ascending-page-id,512,512,6072051097480939855,2,empty,uncontrolled,uncontrolled,512,0,36,1232,1268,512,512,0,2097152,512,1022,511,pass
dirty-batch-flush,ascending-page-id,512,512,6072051097480939855,3,empty,uncontrolled,uncontrolled,512,0,38,1284,1322,512,512,0,2097152,512,1022,511,pass
dirty-batch-flush,ascending-page-id,512,512,6072051097480939855,4,empty,uncontrolled,uncontrolled,512,0,38,1071,1109,512,512,0,2097152,512,1022,511,pass
dirty-batch-flush,ascending-page-id,512,512,6072051097480939855,5,empty,uncontrolled,uncontrolled,512,0,34,1163,1197,512,512,0,2097152,512,1022,511,pass
dirty-batch-flush,current,1024,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,1024,0,22,2962,2984,1024,1024,0,4194304,1024,341589,3,pass
dirty-batch-flush,current,1024,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,1024,0,21,3379,3400,1024,1024,0,4194304,1024,341589,3,pass
dirty-batch-flush,current,1024,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,1024,0,23,3165,3188,1024,1024,0,4194304,1024,341589,3,pass
dirty-batch-flush,current,1024,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,1024,0,22,3032,3054,1024,1024,0,4194304,1024,341589,3,pass
dirty-batch-flush,current,1024,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,1024,0,23,3191,3214,1024,1024,0,4194304,1024,341589,3,pass
dirty-batch-flush,ascending-page-id,1024,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,1024,0,81,2486,2567,1024,1024,0,4194304,1024,2046,1023,pass
dirty-batch-flush,ascending-page-id,1024,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,1024,0,84,2651,2735,1024,1024,0,4194304,1024,2046,1023,pass
dirty-batch-flush,ascending-page-id,1024,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,1024,0,71,2706,2777,1024,1024,0,4194304,1024,2046,1023,pass
dirty-batch-flush,ascending-page-id,1024,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,1024,0,78,3342,3420,1024,1024,0,4194304,1024,2046,1023,pass
dirty-batch-flush,ascending-page-id,1024,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,1024,0,77,2847,2924,1024,1024,0,4194304,1024,2046,1023,pass
