benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,1024,64,1024,6072051097480939855,15,empty,uncontrolled,uncontrolled,4195,4195,0,1804,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,16,empty,uncontrolled,uncontrolled,4371,4370,0,1922,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,17,empty,uncontrolled,uncontrolled,4563,4563,0,1965,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,18,empty,uncontrolled,uncontrolled,4805,4805,0,2129,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,19,empty,uncontrolled,uncontrolled,4462,4462,0,1990,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,20,empty,uncontrolled,uncontrolled,4487,4487,0,1986,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4968,4968,0,2336,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4794,4794,0,2264,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4872,4872,0,2268,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,5143,5143,0,2492,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,4831,4831,0,2261,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,6,empty,uncontrolled,uncontrolled,5315,5315,0,2588,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,7,empty,uncontrolled,uncontrolled,5472,5472,0,2654,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,8,empty,uncontrolled,uncontrolled,5209,5209,0,2456,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,9,empty,uncontrolled,uncontrolled,5543,5543,0,2698,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,10,empty,uncontrolled,uncontrolled,5470,5470,0,2709,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,11,empty,uncontrolled,uncontrolled,5290,5290,0,2569,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,12,empty,uncontrolled,uncontrolled,5389,5389,0,2526,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,13,empty,uncontrolled,uncontrolled,6353,6353,0,3495,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,14,empty,uncontrolled,uncontrolled,5481,5481,0,2706,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,15,empty,uncontrolled,uncontrolled,5137,5137,0,2450,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,16,empty,uncontrolled,uncontrolled,5444,5444,0,2596,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,17,empty,uncontrolled,uncontrolled,5486,5486,0,2666,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,18,empty,uncontrolled,uncontrolled,5182,5182,0,2439,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,19,empty,uncontrolled,uncontrolled,5478,5478,0,2624,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,20,empty,uncontrolled,uncontrolled,5472,5472,0,2634,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,6059,6059,0,2839,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,5245,5245,0,2403,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,5051,5051,0,2369,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4970,4970,0,2373,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,5140,5140,0,2485,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,6,empty,uncontrolled,uncontrolled,4927,4927,0,2269,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,7,empty,uncontrolled,uncontrolled,4976,4976,0,2331,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,8,empty,uncontrolled,uncontrolled,5279,5279,0,2413,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,9,empty,uncontrolled,uncontrolled,5009,5009,0,2362,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,10,empty,uncontrolled,uncontrolled,4954,4953,0,2345,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,11,empty,uncontrolled,uncontrolled,5164,5164,0,2473,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,12,empty,uncontrolled,uncontrolled,5011,5011,0,2371,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,13,empty,uncontrolled,uncontrolled,5118,5118,0,2435,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,14,empty,uncontrolled,uncontrolled,4895,4895,0,2272,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,15,empty,uncontrolled,uncontrolled,5251,5251,0,2456,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,16,empty,uncontrolled,uncontrolled,4805,4805,0,2293,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,17,empty,uncontrolled,uncontrolled,4954,4954,0,2286,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,18,empty,uncontrolled,uncontrolled,4951,4951,0,2380,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,19,empty,uncontrolled,uncontrolled,5276,5276,0,2528,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,64,1024,6072051097480939855,20,empty,uncontrolled,uncontrolled,5308,5308,0,2528,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
